,Business License,Business Name,Address,City,State,Zip Code,Latitude,Longitude
1,09FOOD-0015,Dar-Us-Sunnah Masjid & Community Center,2045 BROWN AVE,Evanston,IL,60201,42.055384700000005,-87.6999538
2,11FOOD-0003,Shop Now Food and Grocery,1942 MAPLE AVE,Evanston,IL,60201,42.0535701,-87.6848956
3,09FOOD-0396,First Church of God Christian Life Center,1524 SIMPSON ST,Evanston,IL,60201,42.0555017,-87.69380167560251
4,13FOOD-0013,Norris Center Bookstore #668,1999 CAMPUS DR,Evanston,IL,60208,42.05344875,-87.67271689148637
5,13FOOD-0018,Food 4 Less Fuel Center,2420 MAIN ST,Evanston,IL,60202,42.030360349999995,-87.70836879951858
6,09FOOD-0153,Oakton Shell,2494 OAKTON ST,Evanston,IL,60202,42.0258168,-87.7083042
7,09FOOD-0311,Walgreens #4218,900 DODGE AVE,Evanston,IL,60202,42.03433775,-87.69979805386151
8,17FOOD-0017,Summer Food - Robert Crown Community Center Site# 18094,1701 MAIN ST,Evanston,IL,60202,42.03400207542842,-87.6965580290378
9,18FOOD-0020,Summer Food - Salvation Army Evanston,1403 SHERMAN AVE,Evanston,IL,60201,42.042801600000004,-87.681488925
10,17FOOD-0019,Summer Food - Fleetwood Jourdain Community Center Site#18095,1655 FOSTER ST,Evanston,IL,60201,42.054481300000006,-87.69522505083782
11,17FOOD-0023,Summer Food - Oakton School Site# 11140,436 RIDGE AVE,Evanston,IL,60202,42.026170949999994,-87.68695974416252
12,18FOOD-0009,Papa John's,1743 BENSON AVE,Evanston,IL,60201,42.0498468,-87.6831554
13,13FOOD-0014,7-Eleven #33961B,817 DAVIS ST,Evanston,IL,60201,42.0471935,-87.6831301
14,13FOOD-0045,Starbucks #243,1734 SHERMAN AVE,Evanston,IL,60201,42.0496962,-87.6820389
15,09FOOD-0307,Starbucks #241,528 DEMPSTER ST,Evanston,IL,60202,42.0410329,-87.6803249
16,17FOOD-0032,Beer on Central,1930 CENTRAL ST,Evanston,IL,60201,42.0641834,-87.7001877
17,14FOOD-0029,Beth's Little Bake Shop,1814 CENTRAL ST,Evanston,IL,60201,42.0641784,-87.6978172
18,09FOOD-0306,Starbucks #8667,3330 CENTRAL ST,Evanston,IL,60201,42.0642674,-87.7270476
19,17FOOD-0008,Backlot Coffee,2006 CENTRAL ST,Evanston,IL,60201,42.0641922,-87.7013122
20,10FOOD-0044,Subway #46614,1133 EMERSON ST,Evanston,IL,60201,42.0526413,-87.6875095
22,17FOOD-0005,Evanston Games and Cafe,1610 MAPLE AVE,Evanston,IL,60201,42.047520899999995,-87.6853571314169
23,08FOOD-0181,Dunkin' Donuts & Baskin-Robbins,2658 GREEN BAY RD,Evanston,IL,60201,42.0659975,-87.7004379
24,16FOOD-0040,Pizza Hut #32451,951 HOWARD ST,Evanston,IL,60202,42.01957274854023,-87.68506092409199
25,17FOOD-0037,Frio Gelato,1301 CHICAGO AVE,Evanston,IL,60201,42.041323,-87.6803797
26,09FOOD-0246,Chipotle Mexican Grill #87,711 CHURCH ST,Evanston,IL,60201,42.0485955,-87.6813057
27,12FOOD-0034,Burger King #9067,1829 DEMPSTER ST,Evanston,IL,60201,42.04134575,-87.69871685
28,09FOOD-0303,Park School,828 MAIN ST,Evanston,IL,60202,42.0336569,-87.68352109449049
29,11FOOD-0025,Gordon Food Service Store,2424 OAKTON ST,Evanston,IL,60202,42.02589105,-87.70714717277689
30,16FOOD-0021,Levy at Ryan Fieldhouse & Walter Athletics Center,2255 CAMPUS DR,Evanston,IL,60208,42.060018299999996,-87.67246665897093
31,09FOOD-0289,Haven Middle School,2417 PRAIRIE AVE,Evanston,IL,60201,42.0616007,-87.6977954
32,17FOOD-0003,Aloha Poke,630 DAVIS ST,Evanston,IL,60201,42.0463329,-87.6814395
33,09FOOD-0300,Lincolnwood Elementary School,2600 COLFAX ST,Evanston,IL,60201,42.06018525,-87.70951813680443
34,15FOOD-0039,Starbucks #2444,519 MAIN ST,Evanston,IL,60202,42.0340803,-87.6787749
35,09FOOD-0363,Dream About Tea,1011 DAVIS ST,Evanston,IL,60201,42.047206,-87.6855117
36,09FOOD-0166,Sarpino's Pizza,2428 MAIN ST,Evanston,IL,60202,42.0330898,-87.7068773
37,12FOOD-0047,The Wine Goddess,702 MAIN ST,Evanston,IL,60202,42.0338463,-87.6807831
38,09FOOD-0083,Sher-Main Grill,802 MAIN ST,Evanston,IL,60202,42.0338326,-87.6824158
39,09FOOD-0095,Great Harvest Bread Co.,2126 CENTRAL ST,Evanston,IL,60201,42.0642368,-87.7032478
40,09FOOD-0133,Warren W. Cherry Preschool,1418 LAKE ST,Evanston,IL,60201,42.044027,-87.6931014
41,09FOOD-0202,"Barnes & Noble Booksellers, Inc.",1630 SHERMAN AVE,Evanston,IL,60201,42.048169599999994,-87.6823963411315
42,09FOOD-0053,Target Store T-927,2209 HOWARD ST,Evanston,IL,60202,42.0190598367347,-87.70872397959184
43,11FOOD-0015,Evanston 1st Liquors,1019 DAVIS ST,Evanston,IL,60201,42.047389949999996,-87.68596977514392
44,18FOOD-0040,10Q Chicken,816 CHURCH ST,Evanston,IL,60201,42.0483105,-87.6827912
45,14FOOD-0042,Hyatt House,1515 CHICAGO AVE,Evanston,IL,60201,42.0456145,-87.6796324
46,09FOOD-0106,Evanston Hospital,1301 CENTRAL ST,Evanston,IL,60201,42.06478145,-87.6899555121886
47,15FOOD-0052,Dollar Tree,1928 DEMPSTER ST,Evanston,IL,60202,42.0393698,-87.7015614
49,18FOOD-0002,The Spice House,1941 CENTRAL ST,Evanston,IL,60201,42.0644742,-87.7007637
50,15FOOD-0013,Jimmy John's Restaurant,1241 CHICAGO AVE,Evanston,IL,60202,42.0406379,-87.6803331
51,09FOOD-0051,Vinic Wine Company,1509 CHICAGO AVE,Evanston,IL,60201,42.0453363,-87.6797961
52,16FOOD-0022,Asian Cajun Too,1322 CHICAGO AVE,Evanston,IL,60201,42.0420316,-87.6807592
53,15FOOD-0015,Epic Burger,1622 SHERMAN AVE,Evanston,IL,60201,42.0479597,-87.6821232
54,17FOOD-0033,Amanacer Taco Shop,512 MAIN ST,Evanston,IL,60202,42.0337847,-87.6783003
55,09FOOD-0107,Fleetwood Jourdain Community Center,1655 FOSTER ST,Evanston,IL,60201,42.054481300000006,-87.69522505083782
57,09FOOD-0178,St. Athanasius School,2510 ASHLAND AVE,Evanston,IL,60201,42.063205249999996,-87.6944201346486
58,10FOOD-0008,Andy's Frozen Custard,719 CHURCH ST,Evanston,IL,60201,42.0485917,-87.6814145
61,12FOOD-0054,Walgreens #15364,635 CHICAGO AVE,Evanston,IL,60202,42.0305984,-87.6781443
62,09FOOD-0309,Starbucks #255,2114 CENTRAL ST,Evanston,IL,60201,42.064196,-87.7028182
63,09FOOD-0366,Davis Pantry,927 DAVIS ST,Evanston,IL,60201,42.0471815,-87.6848117
64,09FOOD-0398,First United Methodist Church,516 CHURCH ST,Evanston,IL,60201,42.0472284,-87.67784984432953
65,16FOOD-0030,Papa Philly,1608 EMERSON ST,Evanston,IL,60201,42.0518469,-87.6950094
66,09FOOD-0327,CVS/Pharmacy #3901,1711 SHERMAN AVE,Evanston,IL,60201,42.0489605,-87.6815653
67,18FOOD-0045,French Kiss Cafe,517 DEMPSTER ST,Evanston,IL,60201,42.0413209,-87.6800065
68,09FOOD-0056,McDonald's #6867,1919 DEMPSTER ST,Evanston,IL,60201,42.0413917,-87.7001126825762
69,16FOOD-0029,Evanston Food Mart,2401 DEMPSTER ST,Evanston,IL,60201,42.04129985,-87.70731215
70,09FOOD-0185,Dobson Plaza,120 DODGE AVE,Evanston,IL,60202,42.0199652,-87.69993844806541
71,16FOOD-0009,Berry Pike,1100 DAVIS ST,Evanston,IL,60201,42.0469196,-87.6870682
72,13FOOD-0010,Hewn Bakery LLC,810 DEMPSTER ST,Evanston,IL,60202,42.04112,-87.68279
73,09FOOD-0352,Open Pantry,821 DEMPSTER ST,Evanston,IL,60201,42.0413356,-87.6832846
74,09FOOD-0345,Sea Ranch,518 DEMPSTER ST,Evanston,IL,60202,42.0410316,-87.6801033
75,15FOOD-0040,Quad Indoor Sports,2454 OAKTON ST,Evanston,IL,60202,42.02529534999999,-87.70729364429253
76,09FOOD-0369,Einstein Bros Bagels #1399,1745 SHERMAN AVE,Evanston,IL,60201,42.0498208,-87.6815513
77,15FOOD-0011,Koco Table Evanston Inc,720 1/2 CLARK ST,Evanston,IL,60201,42.0498225,-87.681182
78,18FOOD-0003,Kung Fu Tea,726 CLARK ST,Evanston,IL,60201,42.0498214,-87.6813568
79,09FOOD-0164,Evanston Gas & Food,101 RIDGE AVE,Evanston,IL,60202,42.019802299999995,-87.68422617517344
80,09FOOD-0045,Mustard's Last Stand,1613 CENTRAL ST,Evanston,IL,60201,42.064534800000004,-87.69487222484986
81,09FOOD-0384,Immanuel Lutheran Church,616 LAKE ST,Evanston,IL,60201,42.04392935,-87.68154324463273
82,16FOOD-0004,Y.O.U.,1911 CHURCH ST,Evanston,IL,60201,42.048570999999995,-87.69963902225304
83,17FOOD-0036,Cafe Coralie,633 HOWARD ST,Evanston,IL,60202,42.0196328,-87.67982740714648
84,15FOOD-0054,Sweet Temptation Bake Shop,607 HOWARD ST,Evanston,IL,60202,42.0196139,-87.6783871
85,09FOOD-0397,First Presbyterian Church,1427 CHICAGO AVE,Evanston,IL,60201,42.043831049999994,-87.6799979468687
86,09FOOD-0087,Sarkis Cafe,2632 GROSS POINT RD,Evanston,IL,60201,42.0657249,-87.72734725087506
87,09FOOD-0424,Dunkin' Donuts,2494 OAKTON ST,Evanston,IL,60202,42.0258168,-87.7083042
88,09FOOD-0357,Koi Fine Asian Cuisine,624 DAVIS ST,Evanston,IL,60201,42.0464133,-87.681043
89,09FOOD-0251,Dozika,601 DEMPSTER ST,Evanston,IL,60201,42.0413118,-87.6808357
90,14FOOD-0028,Patisserie Coralie,600 DAVIS ST,Evanston,IL,60201,42.0461498,-87.6799562
91,09FOOD-0232,Trattoria D.O.C.,706 MAIN ST,Evanston,IL,60202,42.0338458,-87.6810555
92,16FOOD-0006,Terra and Vine,1701 MAPLE AVE,Evanston,IL,60201,42.0487486,-87.6845928
93,09FOOD-0415,St. Paul Lutheran Church,1004 GREENWOOD ST,Evanston,IL,60201,42.0423819,-87.68540311056717
94,09FOOD-0414,St. Luke's Episcopal Church,939 HINMAN AVE,Evanston,IL,60202,42.0353149,-87.6773550255078
95,09FOOD-0077,Buffalo Joe's,812 CLARK ST,Evanston,IL,60201,42.0498334,-87.6825049
96,09FOOD-0418,Vineyard Christian Fellowship,2495 HOWARD ST,Evanston,IL,60202,42.0194299,-87.6783525
97,10FOOD-0024,Jimmy John's #44,1729 SHERMAN AVE,Evanston,IL,60201,42.0494938,-87.681554
98,09FOOD-0012,Aldi,2211 OAKTON ST,Evanston,IL,60202,42.02758985,-87.70456950342248
99,13FOOD-0016,Trader Joe's #702,1211 CHICAGO AVE,Evanston,IL,60202,42.0397986,-87.68007947419537
101,14FOOD-0045,Central Food Mart,2966 CENTRAL ST,Evanston,IL,60201,42.0642061,-87.7174059
102,11FOOD-0009,Old Town Oil Evanston LLC,1924 CENTRAL ST,Evanston,IL,60201,42.0642112,-87.6999538
103,13FOOD-0011,Marshall's #245,2400 MAIN ST,Evanston,IL,60202,42.0325982,-87.7070999
104,09FOOD-0326,CVS/Pharmacy #4778,101 ASBURY AVE,Evanston,IL,60202,42.02019705,-87.68986319673775
105,14FOOD-0005,Eurest Dining Services,1560 SHERMAN AVE,Evanston,IL,60201,42.0459434,-87.68229991660023
106,10FOOD-0039,"Few Spirits, LLC",918 CHICAGO AVE,Evanston,IL,60202,42.0348542,-87.6799555
107,09FOOD-0212,CVS/Pharmacy #8760,3333 CENTRAL ST,Evanston,IL,60201,42.06527225,-87.72690511118904
108,09FOOD-0116,Tag's Bakery,2010 CENTRAL ST,Evanston,IL,60201,42.0641933,-87.7014232
109,17FOOD-0045,Cold Stone Creamery,1611 SHERMAN AVE,Evanston,IL,60201,42.0475248,-87.681601
110,18FOOD-0029,Kresge Cafe,1880 CAMPUS DR,Evanston,IL,60208,42.0516024,-87.6749275423494
111,18FOOD-0024,Cohen Commons,2145 SHERIDAN RD,Evanston,IL,60208,42.0577277,-87.67586855835782
112,18FOOD-0022,Norris University Center,1999 CAMPUS DR,Evanston,IL,60208,42.05344875,-87.67271689148637
113,12FOOD-0007,Mobil,140 CHICAGO AVE,Evanston,IL,60202,42.02082705,-87.67699997442278
114,09FOOD-0402,Hillel,629 FOSTER ST,Evanston,IL,60201,42.0541473,-87.67870075193613
115,16FOOD-0014,Little Green Tree House,2814 CENTRAL ST,Evanston,IL,60201,42.064273,-87.7135888
116,09FOOD-0037,Edzo's Burger Shop,1571 SHERMAN AVE,Evanston,IL,60201,42.0461989,-87.6815357
117,09FOOD-0297,Dewey Elementary School,1551 WESLEY AVE,Evanston,IL,60201,42.0456911,-87.69124617288509
118,12FOOD-0028,Babylon Discount Food,1618 EMERSON ST,Evanston,IL,60201,42.051841,-87.6951833
119,09FOOD-0064,Mary Lou's Place,1215 CHURCH ST,Evanston,IL,60201,42.049107649999996,-87.68910895739788
120,14FOOD-0050,D & D Dogs Inc,825 NOYES ST,Evanston,IL,60201,42.0585487,-87.6832252
121,09FOOD-0401,J & S Food Mart,701 HOWARD ST,Evanston,IL,60202,42.0196888,-87.6806685058024
122,09FOOD-0078,Little Island,2600 CRAWFORD AVE,Evanston,IL,60201,42.06480145,-87.72762029650457
123,09FOOD-0197,Howard Marathon,555 HOWARD ST,Evanston,IL,60202,42.01974425,-87.67744957583557
124,16FOOD-0007,Margarita European Inn,1566 OAK AVE,Evanston,IL,60201,42.0462802,-87.6871254
125,09FOOD-0322,Century Evanston 12 & Cine Arts 6,1715 MAPLE AVE,Evanston,IL,60201,42.0489741,-87.6843865
126,10FOOD-0020,Other Brother Coffeehouse,1549 SHERMAN AVE,Evanston,IL,60201,42.0455414,-87.6816811
127,09FOOD-0416,Unitarian Church of Evanston,1330 RIDGE AVE,Evanston,IL,60201,42.042374699999996,-87.68886241649304
128,09FOOD-0411,Second Baptist Church,1717 BENSON AVE,Evanston,IL,60201,42.049135,-87.68291674112665
129,09FOOD-0305,Willard Elementary School,2700 HURD AVE,Evanston,IL,60201,42.0670951,-87.71702363996981
130,09FOOD-0288,ETHS,1600 DODGE AVE,Evanston,IL,60201,42.04624425,-87.7021813492043
131,13FOOD-0028,Frio Gelato,1701 SIMPSON ST,Evanston,IL,60201,42.0558212,-87.6958838
132,08FOOD-0184,Ted's Snack Shop,1824 CRAIN ST,Evanston,IL,60202,42.0391572,-87.6989873
133,09FOOD-0201,Evanston Main Foods,835 MAIN ST,Evanston,IL,60202,42.0340966,-87.6835465
134,18FOOD-0031,Sargent Hall,2245 SHERIDAN RD,Evanston,IL,60208,42.05877375,-87.67551466958432
135,13FOOD-0005,Temperance Beer Company LLC,2000 DEMPSTER ST,Evanston,IL,60202,42.0400322,-87.7020644
136,09FOOD-0114,The Woman's Club of Evanston,1702 CHICAGO AVE,Evanston,IL,60201,42.048097850000005,-87.67930210524493
137,09FOOD-0054,Peet's Coffee & Tea,1622 CHICAGO AVE,Evanston,IL,60201,42.0469852,-87.67958
139,09FOOD-0324,Cost Plus World Market,1725 MAPLE AVE,Evanston,IL,60201,42.0491103,-87.6845237
140,17FOOD-0011,MBG Products,1043 CHICAGO AVE,Evanston,IL,60202,42.0372724,-87.6798864
141,16FOOD-0038,Goodwill,1916 B DEMPSTER ST,Evanston,IL,60202,42.0410266,-87.7038005
142,09FOOD-0215,Hearth Restaurant,1625 HINMAN AVE,Evanston,IL,60201,42.04651025,-87.67714250169999
143,10FOOD-0035,Hillside Food Pantry,2727 CRAWFORD AVE,Evanston,IL,60201,42.0677191,-87.72915302196287
145,09FOOD-0162,D & D Finer Foods,825 NOYES ST,Evanston,IL,60201,42.0585487,-87.6832252
146,09FOOD-0355,Lou Malnati's Pizzeria,1850 SHERMAN AVE,Evanston,IL,60201,42.0514152,-87.6820257
147,15FOOD-0041,Coffee Lab,910 NOYES ST,Evanston,IL,60201,42.05835912919832,-87.68372335002198
148,09FOOD-0377,Bernard Food,1125 HARTREY AVE,Evanston,IL,60202,42.038534549999994,-87.70343980503623
149,09FOOD-0379,E-Z Spuds,2223 WASHINGTON ST,Evanston,IL,60202,42.03217815,-87.70531738436799
150,18FOOD-0034,"Kilwins Chocolates, Fudge and Ice Cream",1724 SHERMAN AVE,Evanston,IL,60201,42.0493584,-87.682068
151,14FOOD-0033,Blaze Pizza,1737 SHERMAN AVE,Evanston,IL,60203,42.0496245,-87.6815515
152,13FOOD-0006,Chicago - Main Newstand,860 CHICAGO AVE,Evanston,IL,60202,42.033789,-87.67957283037322
153,09FOOD-0376,Allfresh Food Products,2156 GREEN BAY RD,Evanston,IL,60201,42.057327,-87.6931239
154,09FOOD-0090,Oceanique,505 MAIN ST,Evanston,IL,60202,42.034078,-87.6781136
155,09FOOD-0060,Prairie Joe's,1921 CENTRAL ST,Evanston,IL,60201,42.0644544,-87.699688
156,17FOOD-0039,Qi Kratom CBD Tea,624 GROVE ST,Evanston,IL,60201,42.0452048,-87.6814417
157,14FOOD-0051,Freshii,1596 SHERMAN AVE,Evanston,IL,60201,42.0466909,-87.6821037
158,09FOOD-0240,Celtic Knot Public House,626 CHURCH ST,Evanston,IL,60201,42.0479313,-87.6801569
159,09FOOD-0163,Al's Deli,914 NOYES ST,Evanston,IL,60201,42.0583134,-87.6838267
160,16FOOD-0002,Osel Ling Mindrolling International,1818 DEMPSTER ST,Evanston,IL,60202,42.0408959,-87.6985734
161,09FOOD-0367,Firehouse Grill,750 CHICAGO AVE,Evanston,IL,60202,42.0320475,-87.67921600437091
162,09FOOD-0278,Allen Center,2169 CAMPUS DR,Evanston,IL,60208,42.05643135,-87.67306359248781
163,09FOOD-0375,Westminster Place,3200 GRANT ST,Evanston,IL,60201,42.0577268,-87.7242323
164,18FOOD-0042,Chicago Hot Dog & Co,1009 DAVIS ST,Evanston,IL,60201,42.0472056,-87.6854423
165,09FOOD-0189,Shore Homes East,503 MICHIGAN AVE,Evanston,IL,60202,42.0268876,-87.67165605500901
166,11FOOD-0020,St. James Armenian Church,816 Clark ST,Evanston,IL,60201,42.049683099999996,-87.68273220127642
167,09FOOD-0066,Symphony's,1945 CENTRAL ST,Evanston,IL,60201,42.0644761,-87.7009577
168,09FOOD-0101,Holiday Inn University Plaza,1501 SHERMAN AVE,Evanston,IL,60201,42.0444167,-87.68152447534528
169,09FOOD-0183,Saint Francis Hospital,355 RIDGE AVE,Evanston,IL,60202,42.0247437,-87.68338109068567
170,18FOOD-0037,Backlot Hospitality,1042 WESLEY AVE,Evanston,IL,60202,42.0373732,-87.6915966
171,18FOOD-0013,Prairie Moon,1635 CHICAGO AVE,Evanston,IL,60201,42.0473246,-87.6788551
172,11FOOD-0018,Grace Lutheran Church,1430 SOUTH BLVD,Evanston,IL,60202,42.027359700000005,-87.69277904065001
173,18FOOD-0052,Levy at Welsh-Ryan Arena,2705 ASHLAND AVE,Evanston,IL,60201,42.0668689,-87.69244045191044
174,09FOOD-0132,Kikka,1640 CHICAGO AVE,Evanston,IL,60201,42.0475851,-87.6796031479214
175,18FOOD-0030,Plum Market,2332 CAMPUS DR,Evanston,IL,60208,42.06020127956239,-87.67422002222364
176,09FOOD-0173,Union Pizzeria,1245 CHICAGO AVE,Evanston,IL,60202,42.0408835,-87.6802409
177,16FOOD-0017,Union Squared Evanston,1307 CHICAGO AVE,Evanston,IL,60201,42.0414692,-87.6803792
178,09FOOD-0329,Whole Foods Market #314,1640 CHICAGO AVE,Evanston,IL,60201,42.0475851,-87.6796031479214
179,12FOOD-0018,Ward Eight,629 HOWARD ST,Evanston,IL,60202,42.0196015,-87.6796843
180,17FOOD-0047,Theo Ubique Cabaret Theatre,721 HOWARD ST,Evanston,IL,60202,42.019667850000005,-87.681578925591
181,10FOOD-0022,Bar Louie,1520 SHERMAN AVE,Evanston,IL,60201,42.0453401,-87.6821167
182,09FOOD-0333,Trattoria Demi,1571 SHERMAN AVE,Evanston,IL,60201,42.0461989,-87.6815357
183,09FOOD-0184,Albany Care,901 MAPLE AVE,Evanston,IL,60202,42.0342163,-87.6850127
184,15FOOD-0025,La Principal,700 MAIN ST,Evanston,IL,60202,42.0338405,-87.6808815
185,14FOOD-0018,Ten Mile House,1700 CENTRAL ST,Evanston,IL,60201,42.0641644,-87.6959394
186,14FOOD-0041,Bagel Art,615 DEMPSTER ST,Evanston,IL,60201,42.0413224,-87.6812729
187,09FOOD-0117,Bennison's Bakery,1000 DAVIS ST,Evanston,IL,60201,42.0468618,-87.6851927
190,18FOOD-0018,Summer Food - Chute School,1400 OAKTON ST,Evanston,IL,60202,42.026355550000005,-87.6935776688402
191,09FOOD-0245,Mt. Everest Restaurant,630 CHURCH ST,Evanston,IL,60201,42.0479831,-87.6803467
192,15FOOD-0012,The Spice & Tea Exchange of Evanston,1615 SHERMAN AVE,Evanston,IL,60201,42.0476249,-87.6816
193,13FOOD-0021,New Lucky Main Pantry,510 MAIN ST,Evanston,IL,60202,42.0337843,-87.6782356
194,09FOOD-0119,Foodstuffs,2106 CENTRAL ST,Evanston,IL,60201,42.0641957,-87.7024045
195,15FOOD-0044,Harold's Chicken Shack,337 HOWARD ST,Evanston,IL,60202,42.0195318,-87.6744706
196,13FOOD-0038,Tomate Fresh Kitchen,914 1/2 NOYES ST,Evanston,IL,60201,42.0583126,-87.6837623
197,09FOOD-0180,Citgo,443 ASBURY AVE,Evanston,IL,60202,42.0264434,-87.6898784
198,09FOOD-0068,Cross-Rhodes,913 1/2 CHICAGO AVE,Evanston,IL,60202,42.0344971,-87.67932
199,09FOOD-0182,Evanston Hospital,2650 RIDGE AVE,Evanston,IL,60201,42.06460645,-87.68446376519424
